2020-08-11 20:14:31,431 | model_koubei.py | INFO  | 车系：3788 博越 口碑：3098842 数据获取中...
2020-08-11 20:14:31,859 | model_koubei.py | INFO  | 3788 博越 口碑：3098842 数据保存成功!
2020-08-11 20:14:31,860 | model_koubei.py | INFO  | 车系：3788 博越 口碑：3094889 数据获取中...
2020-08-11 20:14:32,097 | model_koubei.py | INFO  | 3788 博越 口碑：3094889 数据保存成功!
2020-08-11 20:14:32,098 | model_koubei.py | INFO  | 车系：3788 博越 口碑：3005681 数据获取中...
2020-08-11 20:14:32,573 | model_koubei.py | INFO  | 3788 博越 口碑：3005681 数据保存成功!
2020-08-11 20:14:32,573 | model_koubei.py | INFO  | 车系：3788 博越 口碑：3082766 数据获取中...
2020-08-11 20:14:32,960 | model_koubei.py | INFO  | 3788 博越 口碑：3082766 数据保存成功!
2020-08-11 20:14:32,960 | model_koubei.py | INFO  | 车系：3788 博越 口碑：3081655 数据获取中...
2020-08-11 20:14:33,329 | model_koubei.py | INFO  | 3788 博越 口碑：3081655 数据保存成功!
2020-08-11 20:14:33,330 | model_koubei.py | INFO  | 车系：3788 博越 口碑：3079156 数据获取中...
2020-08-11 20:14:33,708 | model_koubei.py | INFO  | 3788 博越 口碑：3079156 数据保存成功!
2020-08-11 20:14:33,709 | model_koubei.py | INFO  | 车系：3788 博越 口碑：3075890 数据获取中...
2020-08-11 20:14:33,943 | model_koubei.py | INFO  | 3788 博越 口碑：3075890 数据保存成功!
2020-08-11 20:14:33,943 | model_koubei.py | INFO  | 车系：3788 博越 口碑：3069638 数据获取中...
2020-08-11 20:14:34,206 | model_koubei.py | INFO  | 3788 博越 口碑：3069638 数据保存成功!
2020-08-11 20:14:34,206 | model_koubei.py | INFO  | 车系：3788 博越 口碑：3068670 数据获取中...
2020-08-11 20:14:34,407 | model_koubei.py | INFO  | 3788 博越 口碑：3068670 数据保存成功!
2020-08-11 20:14:34,407 | model_koubei.py | INFO  | 车系：3788 博越 口碑：3067468 数据获取中...
2020-08-11 20:14:34,670 | model_koubei.py | INFO  | 3788 博越 口碑：3067468 数据保存成功!
2020-08-11 20:14:34,670 | model_koubei.py | INFO  | 车系：3788 博越 口碑：3059537 数据获取中...
2020-08-11 20:14:34,916 | model_koubei.py | INFO  | 3788 博越 口碑：3059537 数据保存成功!
2020-08-11 20:14:34,916 | model_koubei.py | INFO  | 车系：3788 博越 口碑：3058951 数据获取中...
2020-08-11 20:14:35,254 | model_koubei.py | INFO  | 3788 博越 口碑：3058951 数据保存成功!
2020-08-11 20:14:35,255 | model_koubei.py | INFO  | 车系：3788 博越 口碑：3056745 数据获取中...
2020-08-11 20:14:35,504 | model_koubei.py | INFO  | 3788 博越 口碑：3056745 数据保存成功!
2020-08-11 20:14:35,505 | model_koubei.py | INFO  | 车系：3788 博越 口碑：3052798 数据获取中...
2020-08-11 20:14:35,847 | model_koubei.py | INFO  | 3788 博越 口碑：3052798 数据保存成功!
2020-08-11 20:14:35,848 | model_koubei.py | INFO  | 车系：3788 博越 口碑：2848331 数据获取中...
2020-08-11 20:14:36,125 | model_koubei.py | INFO  | 3788 博越 口碑：2848331 数据保存成功!
2020-08-11 20:14:36,125 | model_koubei.py | INFO  | 车系：3788 博越 口碑：3049922 数据获取中...
2020-08-11 20:14:36,526 | model_koubei.py | INFO  | 3788 博越 口碑：3049922 数据保存成功!
2020-08-11 20:14:36,526 | model_koubei.py | INFO  | 车系：3788 博越 口碑：3049690 数据获取中...
2020-08-11 20:14:36,763 | model_koubei.py | INFO  | 3788 博越 口碑：3049690 数据保存成功!
2020-08-11 20:14:36,764 | model_koubei.py | INFO  | 车系：3788 博越 口碑：3049206 数据获取中...
2020-08-11 20:14:36,999 | model_koubei.py | INFO  | 3788 博越 口碑：3049206 数据保存成功!
2020-08-11 20:14:37,000 | model_koubei.py | INFO  | 车系：3788 博越 口碑：3049183 数据获取中...
2020-08-11 20:14:37,230 | model_koubei.py | INFO  | 3788 博越 口碑：3049183 数据保存成功!
2020-08-11 20:14:37,230 | model_koubei.py | INFO  | 车系：3788 博越 口碑：3043971 数据获取中...
2020-08-11 20:14:37,485 | model_koubei.py | INFO  | 3788 博越 口碑：3043971 数据保存成功!
2020-08-11 20:14:37,485 | model_koubei.py | INFO  | 车系：3788 博越 口碑：2929746 数据获取中...
2020-08-11 20:14:37,756 | model_koubei.py | INFO  | 3788 博越 口碑：2929746 数据保存成功!
2020-08-11 20:14:37,756 | model_koubei.py | INFO  | 车系：3788 博越 口碑：3034180 数据获取中...
2020-08-11 20:14:38,225 | model_koubei.py | INFO  | 3788 博越 口碑：3034180 数据保存成功!
2020-08-11 20:14:38,226 | model_koubei.py | INFO  | 车系：3788 博越 口碑：3032270 数据获取中...
2020-08-11 20:14:38,475 | model_koubei.py | INFO  | 3788 博越 口碑：3032270 数据保存成功!
2020-08-11 20:14:38,475 | model_koubei.py | INFO  | 车系：3788 博越 口碑：2913739 数据获取中...
2020-08-11 20:14:38,798 | model_koubei.py | INFO  | 3788 博越 口碑：2913739 数据保存成功!
2020-08-11 20:14:38,798 | model_koubei.py | INFO  | 车系：3788 博越 口碑：3026640 数据获取中...
2020-08-11 20:14:39,170 | model_koubei.py | INFO  | 3788 博越 口碑：3026640 数据保存成功!
2020-08-11 20:14:39,170 | model_koubei.py | INFO  | 车系：3788 博越 口碑：2911588 数据获取中...
2020-08-11 20:14:39,520 | model_koubei.py | INFO  | 3788 博越 口碑：2911588 数据保存成功!
2020-08-11 20:14:39,521 | model_koubei.py | INFO  | 车系：3788 博越 口碑：3023252 数据获取中...
2020-08-11 20:14:39,833 | model_koubei.py | INFO  | 3788 博越 口碑：3023252 数据保存成功!
2020-08-11 20:14:49,681 | model_koubei.py | INFO  | 车系：3788 博越 口碑：3021330 数据获取中...
2020-08-11 20:14:49,981 | model_koubei.py | INFO  | 3788 博越 口碑：3021330 数据保存成功!
2020-08-11 20:14:49,982 | model_koubei.py | INFO  | 车系：3788 博越 口碑：2933198 数据获取中...
2020-08-11 20:14:50,450 | model_koubei.py | INFO  | 3788 博越 口碑：2933198 数据保存成功!
