行政区域,项目名称,项目位置,土地用途,行业分类,面积(公顷),供地方式,土地使用年限,成交价(万元),约定容积率,合同签订日期,数据来源,数据写入日期
威远县,湿地公园小区,威远县严陵镇平山村,其他普通商品住房用地,房地产业,6.216803,拍卖出让,70,18184.1488,下限:1.00上限:1.80,2018年02月02日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=fa419dc1-7117-4b5c-a557-778d59be8336,2020-08-26 13:25:37
威远县,湿地公园小区,威远县严陵镇平山村,其他普通商品住房用地,房地产业,4.485697,拍卖出让,70,13524.3765,下限:1.00上限:2.00,2018年02月02日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=3fc971c5-5fd0-49b0-90df-c233b2d61cc2,2020-08-26 13:25:40
仁寿县,四川铂智顺科技发展有限公司,视高镇河心社区,其他普通商品住房用地,其它,6.613911,拍卖出让,70,11900.0000,下限:2.00上限:3.20,2018年02月02日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=7e9d69d5-33ef-471c-aa80-1a80ac4d4241,2020-08-26 13:25:42
旌阳区,房地产开发建设用地,孝感镇长白山路与青衣江路交汇处东北角,其他普通商品住房用地,房地产业,17.765820,拍卖出让,70,53563.9473,下限:1.00上限:2.00,2018年02月02日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=95ae31be-7c4c-4905-a36a-1eae2d629ca5,2020-08-26 13:25:45
仁寿县,成都中南锦合房地产开发有限公司,仁寿县文林镇陵州大道旁,其他普通商品住房用地,房地产业,5.013958,拍卖出让,70,34500.0000,下限:1.80上限:2.20,2018年02月02日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=96187a12-c6d0-446b-8b7f-17825e1d8b19,2020-08-26 13:25:47
仁寿县,四川铂智德科技发展有限公司,视高镇河心社区,其他普通商品住房用地,其它,6.534328,拍卖出让,70,11800.0000,下限:2.00上限:3.20,2018年02月02日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=e3671a76-fd95-4431-9a83-58a7099f2258,2020-08-26 13:25:50
仁寿县,四川铂智德科技发展有限公司,视高镇河心社区,其他普通商品住房用地,其它,6.672216,拍卖出让,70,12000.0000,下限:2.00上限:2.50,2018年02月02日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=e74aa273-7fb9-40eb-b7a0-fad37c114bd9,2020-08-26 13:25:52
邛崃市,凤凰大道西延线南侧、白鹤路东侧地块,邛崃市文君街道办凤凰大道西延线南侧、白鹤路东侧,其他商服用地,商务服务业,5.128272,挂牌出让,40,5384.6870,下限:0.00上限:1.00,2018年02月01日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=21fd15be-6262-4d6e-bc84-e7db0eb157eb,2020-08-26 13:25:55
邛崃市,邛窑大道东北侧、邛窑博物馆西侧地块,邛崃市文君街道办邛窑大道东北侧、邛窑博物馆西侧地块,其他商服用地,商务服务业,6.773999,挂牌出让,40,7315.9200,下限:0.00上限:1.60,2018年02月01日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=944f5fff-2bb1-45a0-890e-cdf89d8748f9,2020-08-26 13:25:57
安县,商服用地,界牌镇金凤村三组,其他商服用地,商务服务业,2.260827,挂牌出让,40,5087.0000,下限:0.00上限:2.50,2018年02月01日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=9bc1538f-39fb-451c-99c6-f8d20f8cf8e1,2020-08-26 13:26:00
