行政区域,项目名称,项目位置,土地用途,行业分类,面积(公顷),供地方式,土地使用年限,成交价(万元),约定容积率,合同签订日期,数据来源,数据写入日期
安县,长虹“双创”智能工业园,界牌镇金凤村9组,工业用地,通讯设备、计算机及其他电子设备制造业,27.611905,挂牌出让,50,4970.1500,下限:1.00上限:3.00,2018年07月12日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=8bea0a51-cd9d-4531-ab14-0b8381917055,2020-08-25 16:03:27
511603000,前锋区QF2018—12—1、2号,永前大道西侧、六角丘安置房南侧,其他普通商品住房用地,房地产业,5.058900,拍卖出让,70,7305.0000,下限:1.00上限:1.80,2018年07月12日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=94c48d37-f095-4469-a537-75aeb19f133d,2020-08-25 16:03:31
自贡市本级,阀门制造,自贡航空产业园B2-13-2地块,工业用地,通用设备制造业,9.398327,挂牌出让,50,1832.6737,下限:0.70上限:0.00,2018年07月12日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=9e2cc72c-bff5-4419-9cb3-b39e8676c828,2020-08-25 16:03:33
江安县,新型化工区B14-I地块宗地,阳春工业园区,工业用地,化学原料及化学制品制造业,3.889982,挂牌出让,50,723.5367,下限:0.60上限:0.00,2018年07月12日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=b39b3821-c565-4cfa-90a8-e7dab104803f,2020-08-25 16:03:36
泸州市本级,泸州金瑞恒资产管理有限公司,长江生态湿地新城北部核心区,其他普通商品住房用地,房地产业,19.232500,拍卖出让,商服40年住宅70年,51927.7500,下限:1.00上限:2.40,2018年07月12日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=04a9b246-ea19-41d6-89fc-98944311a6db,2020-08-25 16:03:38
泸州市本级,泸州金瑞恒资产管理有限公司,长江生态湿地新城北部核心区,其他普通商品住房用地,房地产业,3.237100,拍卖出让,商服40年住宅70年,8740.1700,下限:1.00上限:2.00,2018年07月12日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=8c64c194-db0e-4af2-b64c-85820358a5e5,2020-08-25 16:03:41
资中县,明心寺食品工业园B5,资中县明心寺镇,工业用地,农副食品加工业,2.002100,拍卖出让,50,251.3511,下限:1.00上限:0.00,2018年07月12日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=b226628a-8cb3-4900-adc5-b47c0ef98cab,2020-08-25 16:03:43
彭山县,四川武阳文化旅游股份有限公司,前程路以南、长寿大道以东,中低价位、中小套型普通商品住房用地,房地产业,6.019991,拍卖出让,70,35000.0000,下限:1.00上限:1.50,2018年07月11日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=269a805e-fb76-4542-9ef8-9670e1f7b556,2020-08-25 16:03:46
成都市本级,东莞市中天程锦实业投资有限公司,成都高新区中和街道应龙社区一组（原张家寺村一社）、应龙社区三组（原张家寺村四社）,高档住宅用地,房地产业,8.442342,拍卖出让,70,193160.7850,下限:1.00上限:2.00,2018年07月11日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=298eaa8d-1e36-4253-848e-d544241ed826,2020-08-25 16:03:48
西昌市,西昌海成置业有限公司住宅用地,西昌市小庙乡袁家山村,其他普通商品住房用地,房地产业,3.505279,拍卖出让,70,25300.0000,下限:1.00上限:1.50,2018年07月11日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=41acbe46-6674-4e01-99e0-6dfacc779f50,2020-08-25 16:03:51
成都市本级,成都卓越越欣置业有限公司,成都高新区桂溪街道临江村6组（原白家镇荣店村1社）、7组（原白家镇荣店村2社）、8组（原白家镇荣店村3社）,高档住宅用地,房地产业,2.536486,拍卖出让,70,64426.7444,下限:1.00上限:2.00,2018年07月11日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=488020d2-740f-4882-9704-9e43ae7a0d0f,2020-08-25 16:03:54
西昌市,西昌千城置业有限公司住宅用地,西昌市小庙乡李家村、小庙村,其他普通商品住房用地,房地产业,5.336066,拍卖出让,70,62200.0000,下限:1.00上限:2.50,2018年07月11日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=4d1fc27f-af1b-4ff3-9449-3938b00d35b3,2020-08-25 16:03:56
都江堰市,都江堰御庭旅游项目投资有限公司,都江堰市向峨乡莲月社区、茶房社区,其他商服用地,住宿业,3.487812,挂牌出让,40年,1674.1504,下限:0.00上限:1.20,2018年07月11日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=b5aff016-ac6c-41b3-81b1-ce136fb4e009,2020-08-25 16:03:58
宜宾市本级,二类工业用地,宜宾市翠屏区宋家镇控规C—2—3—01地块,工业用地,计算机服务业,2.832400,挂牌出让,30,475.8432,下限:1.00上限:2.50,2018年07月11日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=c21d8f97-3dff-432c-9e95-dc02b0e63bf3,2020-08-25 16:04:01
宜宾市本级,二类工业用地,宜宾市翠屏区宋家镇控规C—12—1—2地块,工业用地,公共设施管理业,0.190500,挂牌出让,30,32.0040,下限:1.00上限:1.70,2018年07月11日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=f3cddfd2-4848-47c6-869e-8d36c884a13b,2020-08-25 16:04:04
夹江县,夹江县广盛市场开发管理有限公司,夹江县漹城镇工农村5、6社,批发零售用地,批发和零售业,1.000000,挂牌出让,40,1549.0000,下限:0.00上限:2.00,2018年07月11日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=40c2829f-0050-480f-a4e5-7a8dbeb1d933,2020-08-25 16:04:07
高县,高县鑫洋置业有限公司,庆符镇东区财富半岛,中低价位、中小套型普通商品住房用地,房地产业,6.032041,拍卖出让,70,20147.0169,下限:1.00上限:2.80,2018年07月11日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=819ca871-6581-4b1f-b9df-b0d043e70cdd,2020-08-25 16:04:09
自贡市本级,东兴寺片区A－20地块商住楼,东兴寺片区A－20地块,其他普通商品住房用地,房地产业,3.343619,拍卖出让,70,55169.7135,下限:1.00上限:4.00,2018年07月10日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=2db11e44-1fb7-41b1-a2cd-7df19717b9df,2020-08-25 16:04:11
隆昌县,隆地挂（2018）05号,界市镇石佛寺村第5小组、龙台村第8小组,其他商服用地,其他服务业,1.455752,挂牌出让,40,2099.5554,下限:0.00上限:0.50,2018年07月10日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=314c0f17-128b-41a9-803d-319eefb89cc1,2020-08-25 16:04:14
