行政区域,项目名称,项目位置,土地用途,行业分类,面积(公顷),供地方式,土地使用年限,成交价(万元),约定容积率,合同签订日期,数据来源,数据写入日期
射洪县,紫豪商住用地,县经开区纬一路南、经三路东,城镇住宅用地,房地产业,1.409500,拍卖出让,70,6024.9000,下限:1.00上限:2.50,2019年07月30日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=4c96f129-294f-4267-8979-4d998d562a48,2020-08-26 16:55:54
邻水县,挂牌出让邻土储[2018]33号地块,高滩川渝合作示范园,工业用地,汽车制造,1.351500,挂牌出让,50,114.0000,下限:0.70上限:,2019年07月30日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=4ee59e41-5083-4b8c-b559-6cfa6badb515,2020-08-26 16:55:57
邻水县,挂牌出让邻土储[2018]24号地块,高滩川渝合作示范园,公用设施用地,燃气生产和供应业,1.155900,挂牌出让,50,435.0000,下限:上限:0.18,2019年07月30日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=4f8fa3b6-e3e7-471d-8ce3-b65daa4355d6,2020-08-26 16:56:00
邻水县,挂牌出让邻土储[2018]56号地块,高滩川渝合作示范园,工业用地,汽车制造,1.213700,挂牌出让,50,102.0000,下限:0.70上限:0.00,2019年07月30日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=571e2ef9-6c6e-4913-895b-2f2f5cc70065,2020-08-26 16:56:03
邻水县,挂牌出让邻土储[2016]71号地块,环城路（南湖城北侧）,公用设施用地,燃气生产和供应业,0.868200,挂牌出让,50,567.0000,下限:0.00上限:1.50,2019年07月30日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=6595b359-34ea-4d57-8350-6423b60d3785,2020-08-26 16:56:06
成都市本级,成华区府青路街道101仓库C地块拍卖项目,成华区府青路街道101仓库C地块,城镇住宅用地,房地产业,3.356855,拍卖出让,70,101812.7550,下限:1.00上限:3.00,2019年07月30日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=931f9c9e-046c-43ce-9891-c9586513054e,2020-08-26 16:56:09
邻水县,挂牌出让邻土储[2018]15号地块,城南经开区,工业用地,医药制造业,1.561900,挂牌出让,50,132.0000,下限:1.00上限:1.82,2019年07月30日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=9a306497-f800-4ca4-b0a0-43a26ad9a25e,2020-08-26 16:56:12
邻水县,挂牌出让邻土储[2018]33号地块,高滩川渝合作示范园,工业用地,通用设备制造业,0.691900,挂牌出让,50,59.0000,下限:0.70上限:0.00,2019年07月30日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=9be11b5f-f7e1-4051-ba78-dd35defbae2e,2020-08-26 16:56:15
高坪区,南充中吉物流有限公司用地,南充现代物流园拟出让Ec－5－2－2地块,仓储用地,仓储业,7.034100,挂牌出让,50,1012.9104,下限:1.00上限:2.00,2019年07月30日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=df8f9a20-ffca-4d08-bdec-208ae4e29414,2020-08-26 16:56:18
朝天区,广朝国储1360号宗地,朝天区曾家镇太平村,城镇住宅用地,房地产业,2.168486,拍卖出让,70,634.0000,下限:1.00上限:1.50,2019年07月29日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=2b2b6c6f-742e-4366-8f51-3eb5809454e1,2020-08-26 16:56:21
